week,location,average_price
26-08-2008,Kolkata,176.74(166.83)
26-08-2008,Guwahati,153.87(142.38)
26-08-2008,Siliguri,124.43(127.29)
26-08-2008,Jalpaiguri,NS(NS)
26-08-2008,mjunction,
26-08-2008,Cochin,114.15(120.04)
26-08-2008,Coonoor,65.54(94.63)
26-08-2008,Coimbatore,81.82(96.64)
19-08-2008,Kolkata,179.36(171.08)
19-08-2008,Guwahati,153.62(141.50)
19-08-2008,Siliguri,126.26(125.14)
19-08-2008,Jalpaiguri,NS(NS)
19-08-2008,mjunction,
19-08-2008,Cochin,112.76(116.63)
19-08-2008,Coonoor,67.35(92.82)
19-08-2008,Coimbatore,82.24(94.11)
27-12-2008,Kolkata,101.19(85.17)
27-12-2008,Guwahati,87.26(78.43)
27-12-2008,Siliguri,84.90(72.10)
27-12-2008,Jalpaiguri,N.S.(N.S.)
27-12-2008,mjunction,
27-12-2008,Cochin,N.S.(N.S.)
27-12-2008,Coonoor,N.S.(52.12)
27-12-2008,Coimbatore,N.S.(N.S.)
20-12-2008,Kolkata,102.69(85.00)
20-12-2008,Guwahati,89.04(78.85)
20-12-2008,Siliguri,86.30(74.92)
20-12-2008,Jalpaiguri,N.S.(N.S.)
20-12-2008,mjunction,
20-12-2008,Cochin,76.11(55.12)
20-12-2008,Coonoor,65.73(51.89)
20-12-2008,Coimbatore,68.85(52.22)
13-12-2008,Kolkata,103.91(83.16)
13-12-2008,Guwahati,89.92(76.55)
13-12-2008,Siliguri,86.17(73.01)
13-12-2008,Jalpaiguri,N.S.(N.S.)
13-12-2008,mjunction,
13-12-2008,Cochin,73.64(54.54)
13-12-2008,Coonoor,61.87(48.50)
13-12-2008,Coimbatore,64.28(50.96)
06-12-2008,Kolkata,107.01(81.61)
06-12-2008,Guwahati,94.69(74.96)
06-12-2008,Siliguri,85.79(70.89)
06-12-2008,Jalpaiguri,N.S.(N.S.)
06-12-2008,mjunction,
06-12-2008,Cochin,68.78(54.60)
06-12-2008,Coonoor,59.21(47.41)
06-12-2008,Coimbatore,60.08(49.41)
29-11-2008,Kolkata,109.99(81.00)
29-11-2008,Guwahati,96.88(73.03)
29-11-2008,Siliguri,86.99(69.46)
29-11-2008,Jalpaiguri,N.S.(N.S.)
29-11-2008,mjunction,
29-11-2008,Cochin,76.35(56.10)
29-11-2008,Coonoor,60.96(46.38)
29-11-2008,Coimbatore,61.21(49.96)
22-11-2008,Kolkata,108.47(79.76)
22-11-2008,Guwahati,96.74(72.71)
22-11-2008,Siliguri,86.72(69.77)
22-11-2008,Jalpaiguri,N.S.(N.S.)
22-11-2008,mjunction,
22-11-2008,Cochin,81.30(54.90)
22-11-2008,Coonoor,66.08(44.20)
22-11-2008,Coimbatore,68.17(47.50)
22-11-2008,Kolkata,108.47(79.76)
22-11-2008,Guwahati,96.74(72.71)
22-11-2008,Siliguri,86.72(69.77)
22-11-2008,Jalpaiguri,N.S.(N.S.)
22-11-2008,mjunction,
22-11-2008,Cochin,81.30(54.90)
22-11-2008,Coonoor,66.08(44.20)
22-11-2008,Coimbatore,68.17(47.50)
15-11-2008,Kolkata,108.05(80.56)
15-11-2008,Guwahati,98.75(71.47)
15-11-2008,Siliguri,89.07(66.30)
15-11-2008,Jalpaiguri,N.S.(N.S.)
15-11-2008,mjunction,
15-11-2008,Cochin,78.64(54.44)
15-11-2008,Coonoor,68.09(41.10)
15-11-2008,Coimbatore,70.54(44.99)
08-11-2008,Kolkata,107.74(85.28)
08-11-2008,Guwahati,100.19(72.13)
08-11-2008,Siliguri,90.18(N.S.)
08-11-2008,Jalpaiguri,N.S.(N.S.)
08-11-2008,mjunction,
08-11-2008,Cochin,N.S.(55.12)
08-11-2008,Coonoor,69.09(39.64)
08-11-2008,Coimbatore,70.57(N.S.)
01-11-2008,Kolkata,109.91(81.02)
01-11-2008,Guwahati,101.33(70.80)
01-11-2008,Siliguri,90.01(65.26)
01-11-2008,Jalpaiguri,N.S.(N.S.)
01-11-2008,mjunction,
01-11-2008,Cochin,82.30(55.05)
01-11-2008,Coonoor,74.88(40.34)
01-11-2008,Coimbatore,72.64(44.40)
25-10-2008,Kolkata,115.59(81.40)
25-10-2008,Guwahati,106.51(N.S.)
25-10-2008,Siliguri,96.21(65.00)
25-10-2008,Jalpaiguri,N.S.(N.S.)
25-10-2008,mjunction,
25-10-2008,Cochin,89.77(52.80)
25-10-2008,Coonoor,79.81(38.46)
25-10-2008,Coimbatore,N.S.(43.02)
18-10-2008,Kolkata,114.94(N.S.)
18-10-2008,Guwahati,107.29(71.60)
18-10-2008,Siliguri,98.95(N.S.)
18-10-2008,Jalpaiguri,N.S.(N.S.)
18-10-2008,mjunction,
18-10-2008,Cochin,94.33(50.39)
18-10-2008,Coonoor,83.46(38.46)
18-10-2008,Coimbatore,84.63(42.04)
11-10-2008,Kolkata,N.S.(82.55)
11-10-2008,Guwahati,N.S.(70.87)
11-10-2008,Siliguri,N.S.(64.98)
11-10-2008,Jalpaiguri,N.S.(N.S.)
11-10-2008,mjunction,
11-10-2008,Cochin,92.87(53.90)
11-10-2008,Coonoor,82.53(38.74)
11-10-2008,Coimbatore,84.91(43.78)
04-10-2008,Kolkata,115.09(79.87)
04-10-2008,Guwahati,105.22(69.28)
04-10-2008,Siliguri,97.97(63.23)
04-10-2008,Jalpaiguri,N.S.(N.S.)
04-10-2008,mjunction,
04-10-2008,Cochin,93.66(54.70)
04-10-2008,Coonoor,80.75(39.35)
04-10-2008,Coimbatore,82.52(43.67)
27-09-2008,Kolkata,113.53(81.56)
27-09-2008,Guwahati,105.63(68.32)
27-09-2008,Siliguri,97.14(62.81)
27-09-2008,Jalpaiguri,N.S.(N.S.)
27-09-2008,mjunction,
27-09-2008,Cochin,101.48(54.73)
27-09-2008,Coonoor,84.21(39.04)
27-09-2008,Coimbatore,88.01(43.94)
20-09-2008,Kolkata,111.95(80.02)
20-09-2008,Guwahati,102.50(67.00)
20-09-2008,Siliguri,97.94(62.37)
20-09-2008,Jalpaiguri,N.S.(N.S.)
20-09-2008,mjunction,
20-09-2008,Cochin,97.23(53.84)
20-09-2008,Coonoor,83.63(39.36)
20-09-2008,Coimbatore,87.11(44.10)
13-09-2008,Kolkata,107.91(79.75)
13-09-2008,Guwahati,98.82(66.05)
13-09-2008,Siliguri,91.65(61.51)
13-09-2008,Jalpaiguri,N.S.(N.S.)
13-09-2008,mjunction,
13-09-2008,Cochin,N.S.(53.48)
13-09-2008,Coonoor,75.67(39.82)
13-09-2008,Coimbatore,80.32(43.93)
06-09-2008,Kolkata,108.35(80.10)
06-09-2008,Guwahati,97.37(67.68)
06-09-2008,Siliguri,88.80(60.74)
06-09-2008,Jalpaiguri,N.S.(N.S.)
06-09-2008,mjunction,
06-09-2008,Cochin,87.68(52.82)
06-09-2008,Coonoor,72.11(41.05)
06-09-2008,Coimbatore,75.62(43.01)
30-08-2008,Kolkata,108.77(80.99)
30-08-2008,Guwahati,95.99(66.90)
30-08-2008,Siliguri,88.54(60.63)
30-08-2008,Jalpaiguri,N.S.(N.S.)
30-08-2008,mjunction,
30-08-2008,Cochin,83.78(N.S.)
30-08-2008,Coonoor,70.56(40.73)
30-08-2008,Coimbatore,72.13(43.57)
23-08-2008,Kolkata,111.18(81.63)
23-08-2008,Guwahati,96.22(67.46)
23-08-2008,Siliguri,89.13(61.67)
23-08-2008,Jalpaiguri,N.S.(N.S.)
23-08-2008,mjunction,
23-08-2008,Cochin,83.49(54.47)
23-08-2008,Coonoor,70.95(40.16)
23-08-2008,Coimbatore,73.42(43.58)
16-08-2008,Kolkata,111.94(82.70)
16-08-2008,Guwahati,95.60(68.49)
16-08-2008,Siliguri,88.31(62.76)
16-08-2008,Jalpaiguri,N.S.(N.S.)
16-08-2008,mjunction,
16-08-2008,Cochin,82.30(54.01)
16-08-2008,Coonoor,71.69(39.51)
16-08-2008,Coimbatore,74.86(43.11)
09-08-2008,Kolkata,109.39(81.41)
09-08-2008,Guwahati,93.26(67.94)
09-08-2008,Siliguri,87.57(64.28)
09-08-2008,Jalpaiguri,N.S.(N.S.)
09-08-2008,mjunction,
09-08-2008,Cochin,77.37(54.27)
09-08-2008,Coonoor,69.87(39.14)
09-08-2008,Coimbatore,70.84(43.26)
02-08-2008,Kolkata,109.56(83.42)
02-08-2008,Guwahati,92.43(68.66)
02-08-2008,Siliguri,87.63(64.51)
02-08-2008,Jalpaiguri,N.S.(N.S.)
02-08-2008,mjunction,
02-08-2008,Cochin,74.07(53.75)
02-08-2008,Coonoor,67.35(40.34)
02-08-2008,Coimbatore,69.07(42.84)
26-07-2008,Kolkata,109.92(84.19)
26-07-2008,Guwahati,91.90(72.20)
26-07-2008,Siliguri,86.69(66.19)
26-07-2008,Jalpaiguri,N.S.(N.S.)
26-07-2008,mjunction,
26-07-2008,Cochin,69.20(58.45)
26-07-2008,Coonoor,64.11(40.09)
26-07-2008,Coimbatore,65.73(43.04)
19-07-2008,Kolkata,116.96(86.37)
19-07-2008,Guwahati,91.72(69.88)
19-07-2008,Siliguri,84.84(66.65)
19-07-2008,Jalpaiguri,N.S.(N.S.)
19-07-2008,mjunction,
19-07-2008,Cochin,68.34(54.15)
19-07-2008,Coonoor,62.48(41.01)
19-07-2008,Coimbatore,63.32(45.29)
12-07-2008,Kolkata,116.47(92.88)
12-07-2008,Guwahati,92.94(72.20)
12-07-2008,Siliguri,84.06(66.63)
12-07-2008,Jalpaiguri,N.S.(N.S.)
12-07-2008,mjunction,
12-07-2008,Cochin,67.69(53.71)
12-07-2008,Coonoor,61.93(40.47)
12-07-2008,Coimbatore,62.89(43.57)
05-07-2008,Kolkata,119.28(96.71)
05-07-2008,Guwahati,93.29(75.10)
05-07-2008,Siliguri,85.92(67.73)
05-07-2008,Jalpaiguri,N.S.(N.S.)
05-07-2008,mjunction,
05-07-2008,Cochin,67.94(52.86)
05-07-2008,Coonoor,61.77(40.62)
05-07-2008,Coimbatore,64.07(44.43)
05-07-2008,Kolkata,119.28(96.71)
05-07-2008,Guwahati,93.29(75.10)
05-07-2008,Siliguri,85.92(67.73)
05-07-2008,Jalpaiguri,N.S.(N.S.)
05-07-2008,mjunction,
05-07-2008,Cochin,67.94(52.86)
05-07-2008,Coonoor,61.77(40.62)
05-07-2008,Coimbatore,64.07(44.43)
28-06-2008,Kolkata,118.11(97.11)
28-06-2008,Guwahati,94.97(78.96)
28-06-2008,Siliguri,89.44(69.40)
28-06-2008,Jalpaiguri,N.S.(N.S.)
28-06-2008,mjunction,
28-06-2008,Cochin,69.11(52.15)
28-06-2008,Coonoor,62.91(41.99)
28-06-2008,Coimbatore,63.76(45.38)
21-06-2008,Kolkata,108.56(93.88)
21-06-2008,Guwahati,95.88(81.31)
21-06-2008,Siliguri,91.30(71.59)
21-06-2008,Jalpaiguri,N.S.(N.S.)
21-06-2008,mjunction,
21-06-2008,Cochin,66.19(52.07)
21-06-2008,Coonoor,62.25(44.32)
21-06-2008,Coimbatore,62.77(45.96)
14-06-2008,Kolkata,101.75(88.42)
14-06-2008,Guwahati,94.00(80.47)
14-06-2008,Siliguri,94.07(73.38)
14-06-2008,Jalpaiguri,N.S.(N.S.)
14-06-2008,mjunction,
14-06-2008,Cochin,63.89(53.68)
14-06-2008,Coonoor,60.89(46.13)
14-06-2008,Coimbatore,60.73(47.37)
07-06-2008,Kolkata,95.77(83.09)
07-06-2008,Guwahati,89.18(75.64)
07-06-2008,Siliguri,92.96(73.32)
07-06-2008,Jalpaiguri,N.S.(N.S.)
07-06-2008,mjunction,
07-06-2008,Cochin,61.15(53.84)
07-06-2008,Coonoor,60.36(46.74)
07-06-2008,Coimbatore,59.54(48.42)
31-05-2008,Kolkata,96.77(80.72)
31-05-2008,Guwahati,87.23(73.15)
31-05-2008,Siliguri,90.84(73.93)
31-05-2008,Jalpaiguri,N.S.(N.S.)
31-05-2008,mjunction,
31-05-2008,Cochin,59.99(54.26)
31-05-2008,Coonoor,58.00(47.41)
31-05-2008,Coimbatore,57.88(48.58)
24-05-2008,Kolkata,98.43(79.91)
24-05-2008,Guwahati,87.20(69.86)
24-05-2008,Siliguri,88.79(72.55)
24-05-2008,Jalpaiguri,N.S.(N.S.)
24-05-2008,mjunction,
24-05-2008,Cochin,59.58(56.55)
24-05-2008,Coonoor,57.09(47.67)
24-05-2008,Coimbatore,57.62(49.92)
17-05-2008,Kolkata,98.58(80.50)
17-05-2008,Guwahati,87.31(69.74)
17-05-2008,Siliguri,88.36(70.60)
17-05-2008,Jalpaiguri,N.S.(N.S.)
17-05-2008,mjunction,
17-05-2008,Cochin,59.53(57.50)
17-05-2008,Coonoor,55.35(47.73)
17-05-2008,Coimbatore,54.76(50.34)
10-05-2008,Kolkata,99.25(81.64)
10-05-2008,Guwahati,87.46(70.01)
10-05-2008,Siliguri,86.07(68.70)
10-05-2008,Jalpaiguri,N.S.(N.S.)
10-05-2008,mjunction,
10-05-2008,Cochin,59.54(58.47)
10-05-2008,Coonoor,55.14(47.91)
10-05-2008,Coimbatore,55.27(51.23)
03-05-2008,Kolkata,101.15(86.41)
03-05-2008,Guwahati,87.53(71.77)
03-05-2008,Siliguri,86.36(69.74)
03-05-2008,Jalpaiguri,N.S.(N.S.)
03-05-2008,mjunction,
03-05-2008,Cochin,60.71(59.57)
03-05-2008,Coonoor,56.27(47.49)
03-05-2008,Coimbatore,55.69(51.69)
26-04-2008,Kolkata,103.18(89.19)
26-04-2008,Guwahati,90.29(75.33)
26-04-2008,Siliguri,89.43(71.93)
26-04-2008,Jalpaiguri,N.S.(N.S.)
26-04-2008,mjunction,
26-04-2008,Cochin,60.88(60.30)
26-04-2008,Coonoor,56.40(47.81)
26-04-2008,Coimbatore,56.00(50.32)
19-04-2008,Kolkata,98.18(80.00)
19-04-2008,Guwahati,N.S.(81.26)
19-04-2008,Siliguri,91.14(75.17)
19-04-2008,Jalpaiguri,N.S.(N.S.)
19-04-2008,mjunction,
19-04-2008,Cochin,60.45(60.64)
19-04-2008,Coonoor,54.42(47.12)
19-04-2008,Coimbatore,55.46(52.30)
12-04-2008,Kolkata,87.13(90.97)
12-04-2008,Guwahati,83.97(84.77)
12-04-2008,Siliguri,90.96(78.91)
12-04-2008,Jalpaiguri,N.S.(N.S.)
12-04-2008,mjunction,
12-04-2008,Cochin,60.24(61.91)
12-04-2008,Coonoor,54.47(47.71)
12-04-2008,Coimbatore,55.08(50.96)
05-04-2008,Kolkata,78.54(70.38)
05-04-2008,Guwahati,65.63(61.75)
05-04-2008,Siliguri,93.21(82.64)
05-04-2008,Jalpaiguri,N.S.(N.S.)
05-04-2008,mjunction,
05-04-2008,Cochin,60.39(N.S.)
05-04-2008,Coonoor,54.90(47.69)
05-04-2008,Coimbatore,54.73(48.69)
29-03-2008,Kolkata,64.08(53.87)
29-03-2008,Guwahati,N.S.(55.67)
29-03-2008,Siliguri,60.97(53.73)
29-03-2008,Jalpaiguri,N.S.(N.S.)
29-03-2008,mjunction,
29-03-2008,Cochin,60.4(62.66)
29-03-2008,Coonoor,55.5(48.01)
29-03-2008,Coimbatore,55.08(50)
22-03-2008,Kolkata,N.S.(N.S.)
22-03-2008,Guwahati,58.78(N.S.)
22-03-2008,Siliguri,N.S.(N.S.)
22-03-2008,Jalpaiguri,N.S.(N.S.)
22-03-2008,mjunction,
22-03-2008,Cochin,N.S.(62.11)
22-03-2008,Coonoor,55.52(49.83)
22-03-2008,Coimbatore,55.51(50.53)
15-03-2008,Kolkata,N.S.(N.S.)
15-03-2008,Guwahati,N.S.(54.38)
15-03-2008,Siliguri,N.S.(N.S.)
15-03-2008,Jalpaiguri,N.S.(N.S.)
15-03-2008,mjunction,
15-03-2008,Cochin,61.8(60.96)
15-03-2008,Coonoor,56.05(48.9)
15-03-2008,Coimbatore,56.73(56.46)
08-03-2008,Kolkata,66.15(56.36)
08-03-2008,Guwahati,N.S.(N.S.)
08-03-2008,Siliguri,60.76(50.41)
08-03-2008,Jalpaiguri,N.S.(N.S.)
08-03-2008,mjunction,
08-03-2008,Cochin,60.68(N.S.)
08-03-2008,Coonoor,56.07(50.5)
08-03-2008,Coimbatore,55.96(N.S.)
01-03-2008,Kolkata,N.S.(N.S.)
01-03-2008,Guwahati,55.48(N.S.)
01-03-2008,Siliguri,57.02(N.S.)
01-03-2008,Jalpaiguri,N.S.(N.S.)
01-03-2008,mjunction,
01-03-2008,Cochin,59.83(61.44)
01-03-2008,Coonoor,54.02(50.33)
01-03-2008,Coimbatore,54.88(54.88)
23-02-2008,Kolkata,66.64(60.02)
23-02-2008,Guwahati,59.28(57.2)
23-02-2008,Siliguri,58.15(52.33)
23-02-2008,Jalpaiguri,N.S.(N.S.)
23-02-2008,mjunction,
23-02-2008,Cochin,59.95(60.4)
23-02-2008,Coonoor,52.82(N.S.)
23-02-2008,Coimbatore,53.68(53.68)
16-09-2008,Kolkata,68.38(60.67)
16-09-2008,Guwahati,62.35(N.S.)
16-09-2008,Siliguri,61.27(52.74)
16-09-2008,Jalpaiguri,N.S.(N.S.)
16-09-2008,mjunction,
16-09-2008,Cochin,59.89(60.53)
16-09-2008,Coonoor,51.84(50.17)
16-09-2008,Coimbatore,51.66(51.66)
09-02-2008,Kolkata,70.72(63.51)
09-02-2008,Guwahati,63.3(61.1)
09-02-2008,Siliguri,59.63(53.12)
09-02-2008,Jalpaiguri,N.S.(N.S.)
09-02-2008,mjunction,
09-02-2008,Cochin,59.26(59.07)
09-02-2008,Coonoor,52.31(49.87)
09-02-2008,Coimbatore,51.05(51.05)
02-02-2008,Kolkata,71.11(68.11)
02-02-2008,Guwahati,64.97(60.83)
02-02-2008,Siliguri,62.09(54.59)
02-02-2008,Jalpaiguri,N.S.(N.S.)
02-02-2008,mjunction,
02-02-2008,Cochin,58.95(59.91)
02-02-2008,Coonoor,53.22(49.93)
02-02-2008,Coimbatore,50.88(50.88)
26-01-2008,Kolkata,74.09(67.79)
26-01-2008,Guwahati,66.2(60.63)
26-01-2008,Siliguri,65.57(56.43)
26-01-2008,Jalpaiguri,N.S.(N.S.)
26-01-2008,mjunction,
26-01-2008,Cochin,57.13(61.06)
26-01-2008,Coonoor,53.42(49.16)
26-01-2008,Coimbatore,50.06(50.06)
19-01-2008,Kolkata,76.84(67.73)
19-01-2008,Guwahati,71.04(61.19)
19-01-2008,Siliguri,67.16(58.49)
19-01-2008,Jalpaiguri,N.S.(N.S.)
19-01-2008,mjunction,
19-01-2008,Cochin,59.08(60.24)
19-01-2008,Coonoor,52.58(48.96)
19-01-2008,Coimbatore,51.38(51.38)
12-01-2008,Kolkata,79.82(69.4)
12-01-2008,Guwahati,73.97(61.11)
12-01-2008,Siliguri,68.17(59.3)
12-01-2008,Jalpaiguri,N.S.(N.S.)
12-01-2008,mjunction,
12-01-2008,Cochin,59.47(59.75)
12-01-2008,Coonoor,52.36(47.75)
12-01-2008,Coimbatore,50.27(50.27)
05-01-2008,Kolkata,80.82(70.15)
05-01-2008,Guwahati,76.15(61.58)
05-01-2008,Siliguri,70.07(60.01)
05-01-2008,Jalpaiguri,N.S.(N.S.)
05-01-2008,mjunction,
05-01-2008,Cochin,57.91(57.64)
05-01-2008,Coonoor,51.69(48.11)
05-01-2008,Coimbatore,54.07(49.81)
26-12-2009,Kolkata,124.46 (101.19)
26-12-2009,Guwahati,107.30 (87.26)
26-12-2009,Siliguri,109.37 (84.90)
26-12-2009,Jalpaiguri,N.S.(N.S.)
26-12-2009,mjunction,
26-12-2009,Cochin,No sale
26-12-2009,Coonoor,73.74 (N.S.)
26-12-2009,Coimbatore,No sale
19-12-2009,Kolkata,127.21 (102.69)
19-12-2009,Guwahati,111.28 (89.04)
19-12-2009,Siliguri,113.70 (86.30)
19-12-2009,Jalpaiguri,N.S.(N.S.)
19-12-2009,mjunction,
19-12-2009,Cochin,83.43 (76.11)
19-12-2009,Coonoor,74.45 (65.73)
19-12-2009,Coimbatore,75.28 (68.85)
12-12-2009,Kolkata,127.65 (103.91)
12-12-2009,Guwahati,111.75 (89.92)
12-12-2009,Siliguri,114.33 (86.17)
12-12-2009,Jalpaiguri,N.S.(N.S.)
12-12-2009,mjunction,
12-12-2009,Cochin,84.43 (73.64)
12-12-2009,Coonoor,75.12 (61.87)
12-12-2009,Coimbatore,76.67 (64.28)
05-12-2009,Kolkata,131.09 (107.01)
05-12-2009,Guwahati,115.02 (94.69)
05-12-2009,Siliguri,111.19 (85.79)
05-12-2009,Jalpaiguri,N.S.(N.S.)
05-12-2009,mjunction,
05-12-2009,Cochin,84.77 (68.78)
05-12-2009,Coonoor,77.18 (59.21)
05-12-2009,Coimbatore,77.85 (60.08)
28-11-2009,Kolkata,132.39 (109.99)
28-11-2009,Guwahati,120.07 (96.88)
28-11-2009,Siliguri,110.03 (86.99)
28-11-2009,Jalpaiguri,N.S.(N.S.)
28-11-2009,mjunction,
28-11-2009,Cochin,86.79 (76.35)
28-11-2009,Coonoor,76.86 (60.96)
28-11-2009,Coimbatore,78.92 (61.21)
21-11-2009,Kolkata,137.73 (108.47)
21-11-2009,Guwahati,119.06 (96.74)
21-11-2009,Siliguri,114.64 (86.72)
21-11-2009,Jalpaiguri,N.S.(N.S.)
21-11-2009,mjunction,
21-11-2009,Cochin,84.80 (81.30)
21-11-2009,Coonoor,76.53 (66.08)
21-11-2009,Coimbatore,80.98 (68.17)
14-11-2009,Kolkata,135.48 (108.05)
14-11-2009,Guwahati,120.16 (98.75)
14-11-2009,Siliguri,116.15 (89.07)
14-11-2009,Jalpaiguri,N.S.(N.S.)
14-11-2009,mjunction,
14-11-2009,Cochin,82.38 (78.64)
14-11-2009,Coonoor,0.00 (68.09)
14-11-2009,Coimbatore,76.55 (70.54)
07-11-2009,Kolkata,137.78 (107.74)
07-11-2009,Guwahati,118.69 (100.19)
07-11-2009,Siliguri,115.75 (90.18)
07-11-2009,Jalpaiguri,N.S.(N.S.)
07-11-2009,mjunction,
07-11-2009,Cochin,85.03 (0.00)
07-11-2009,Coonoor,71.34 (69.09)
07-11-2009,Coimbatore,74.20 (70.58)
31-10-2009,Kolkata,138.44 (109.91)
31-10-2009,Guwahati,119.68 (101.33)
31-10-2009,Siliguri,109.63 (90.01)
31-10-2009,Jalpaiguri,N.S.(N.S.)
31-10-2009,mjunction,
31-10-2009,Cochin,87.94 (82.30)
31-10-2009,Coonoor,69.92 (74.88)
31-10-2009,Coimbatore,75.83 (72.64)
24-10-2009,Kolkata,135.47 (115.59)
24-10-2009,Guwahati,119.67 (106.51)
24-10-2009,Siliguri,108.25 (96.21)
24-10-2009,Jalpaiguri,N.S.(N.S.)
24-10-2009,mjunction,
24-10-2009,Cochin,91.38 (89.77)
24-10-2009,Coonoor,73.82 (79.81)
24-10-2009,Coimbatore,77.44 (NS)
17-10-2009,Kolkata,137.93 (114.94)
17-10-2009,Guwahati,119.78 (107.29)
17-10-2009,Siliguri,106.18 (98.95)
17-10-2009,Jalpaiguri,N.S.(N.S.)
17-10-2009,mjunction,
17-10-2009,Cochin,N.S (94.33)
17-10-2009,Coonoor,74.77 (83.46)
17-10-2009,Coimbatore,N.S (84.63)
10-10-2009,Kolkata,135.28 (N.S)
10-10-2009,Guwahati,117.40 (N.S)
10-10-2009,Siliguri,109.32 (N.S)
10-10-2009,Jalpaiguri,N.S.(N.S.)
10-10-2009,mjunction,
10-10-2009,Cochin,90.28 (92.87)
10-10-2009,Coonoor,74.32 (82.53)
10-10-2009,Coimbatore,81.03 (84.91)
03-10-2009,Kolkata,NS (115.09)
03-10-2009,Guwahati,NS (105.22)
03-10-2009,Siliguri,NS (97.97)
03-10-2009,Jalpaiguri,N.S.(N.S.)
03-10-2009,mjunction,
03-10-2009,Cochin,91.00 (93.66)
03-10-2009,Coonoor,76.61 (80.75)
03-10-2009,Coimbatore,80.24 (82.52)
26-09-2009,Kolkata,137.73 (113.53)
26-09-2009,Guwahati,114.84 (105.63)
26-09-2009,Siliguri,105.28 (97.14)
26-09-2009,Jalpaiguri,N.S.(N.S.)
26-09-2009,mjunction,
26-09-2009,Cochin,93.30 (101.48)
26-09-2009,Coonoor,77.59 (84.21)
26-09-2009,Coimbatore,82.24 (88.01)
19-09-2009,Kolkata,131.42 (111.95)
19-09-2009,Guwahati,114.73 (102.50)
19-09-2009,Siliguri,101.40 (97.94)
19-09-2009,Jalpaiguri,N.S.(N.S.)
19-09-2009,mjunction,
19-09-2009,Cochin,97.03 (97.23)
19-09-2009,Coonoor,76.24 (83.63)
19-09-2009,Coimbatore,83.83 (87.11)
12-09-2009,Kolkata,127.62 (107.91)
12-09-2009,Guwahati,112.67 (98.82)
12-09-2009,Siliguri,N.S. (91.65)
12-09-2009,Jalpaiguri,N.S.(N.S.)
12-09-2009,mjunction,
12-09-2009,Cochin,96.59 (N.S.)
12-09-2009,Coonoor,75.65 (75.67)
12-09-2009,Coimbatore,79.04 (80.32)
05-09-2009,Kolkata,129.34 (108.38)
05-09-2009,Guwahati,112.47 (97.37)
05-09-2009,Siliguri,No sale
05-09-2009,Jalpaiguri,N.S.(N.S.)
05-09-2009,mjunction,
05-09-2009,Cochin,No sale
05-09-2009,Coonoor,74.29 (72.11)
05-09-2009,Coimbatore,80.59 (75.62)
22-08-2009,Kolkata,131.14 (111.18)
22-08-2009,Guwahati,114.17 (96.22)
22-08-2009,Siliguri,101.14 (89.13
22-08-2009,Jalpaiguri,N.S.(N.S.)
22-08-2009,mjunction,
22-08-2009,Cochin,95.89 (83.49
22-08-2009,Coonoor,72.94 (70.95
22-08-2009,Coimbatore,79.58 (73.42)
15-08-2009,Kolkata,129.29 (111.94)
15-08-2009,Guwahati,113.59 95.60)
15-08-2009,Siliguri,102.99 (88.31)
15-08-2009,Jalpaiguri,N.S.(N.S.)
15-08-2009,mjunction,
15-08-2009,Cochin,98.46 (82.30)
15-08-2009,Coonoor,71.08 (71.69)
15-08-2009,Coimbatore,76.72 (74.86)
08-08-2009,Kolkata,130.36 (109.39)
08-08-2009,Guwahati,112.18 (93.26)
08-08-2009,Siliguri,106.04 (87.57)
08-08-2009,Jalpaiguri,N.S.(N.S.)
08-08-2009,mjunction,
08-08-2009,Cochin,98.24 (77.37)
08-08-2009,Coonoor,69.99 (69.87)
08-08-2009,Coimbatore,74.82 (70.84)
01-08-2009,Kolkata,128.54 (109.56)
01-08-2009,Guwahati,112.15 (92.43)
01-08-2009,Siliguri,105.19 (87.63)
01-08-2009,Jalpaiguri,N.S.(N.S.)
01-08-2009,mjunction,
01-08-2009,Cochin,N.S.   (74.07)
01-08-2009,Coonoor,70.21 (67.35)
01-08-2009,Coimbatore,79.77 (69.07)
25-07-2009,Kolkata,129.43 (109.92)
25-07-2009,Guwahati,107.34 (91.90)
25-07-2009,Siliguri,102.15 (86.69)
25-07-2009,Jalpaiguri,N.S.(N.S.)
25-07-2009,mjunction,
25-07-2009,Cochin,98.67 (69.20)
25-07-2009,Coonoor,71.30 (64.11)
25-07-2009,Coimbatore,82.16 (65.73)
18-07-2009,Kolkata,132.42 (116.96)
18-07-2009,Guwahati,106.59 (91.72)
18-07-2009,Siliguri,103.72 (84.84)
18-07-2009,Jalpaiguri,N.S.(N.S.)
18-07-2009,mjunction,
18-07-2009,Cochin,91.20 (68.34)
18-07-2009,Coonoor,74.26 (62.48)
18-07-2009,Coimbatore,83.65 (63.32)
11-07-2009,Kolkata,135.45 (116.47)
11-07-2009,Guwahati,116.19 (92.94)
11-07-2009,Siliguri,107.48 (84.06)
11-07-2009,Jalpaiguri,N.S.(N.S.)
11-07-2009,mjunction,
11-07-2009,Cochin,88.80 (67.69)
11-07-2009,Coonoor,74.08 (61.93)
11-07-2009,Coimbatore,82.07 (62.89)
04-07-2009,Kolkata,135.45 (119.28)
04-07-2009,Guwahati,124.00 (93.29)
04-07-2009,Siliguri,110.79 (85.92)
